,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10,sa11,sa12,sa13,sa14,sa15,sa16,sa17,sa18,sa19,sa20,sa21,sa22,sa23,sa24,sa25,sa26,sa27,sa28,sa29,sa30,sa31,sa32,sa33,sa34,sa35,sa36,sa37,sa38,sa39,sa40,sa41,sa42,sa43,sa44,sa45,sa46,sa47,sa48,sa49,sa50,sa51,sa52,sa53,sa54,sa55,sa56,sa57,sa58,sa59,sa60,sa61,sa62,sa63,sa64,sa65,sa66,sa67,sa68,sa69,sa70,sa71,sa72,sa73,sa74,sa75,sa76,sa77,sa78,sa79,sa80,sa81,sa82,sa83,sa84,sa85,sa86,sa87,sa88,sa89,sa90,sa91,sa92,sa93,sa94,sa95,sa96,sa97,sa98,sa99,sa100,sa101,sa102,sa103,sa104,sa105,sa106,sa107,sa108
ASV_35,9,0,0,11,9,14,0,4,0,0,0,0,0,7,7,57,72,79,35,16,38,14,35,17,23,20,24,32,11,11,0,0,3,0,9,0,0,0,0,0,0,0,0,16,12,15,23,26,131,62,95,50,74,150,168,218,294,166,72,132,60,73,75,23,76,38,69,42,72,49,55,97,75,310,276,82,240,238,0,0,0,9,10,10,6,15,19,0,0,21,20,13,23,19,21,12,0,22,31,13,28,25,28,15,12,128,62,6
ASV_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,49,16,24,11,42,35,94,62,112,104,127,65,129,66,49,92,149,122,117,0,89,80,94,114,103,134,275,196,381,250,26,0,20,0,9,35,29,34,53,36,51,29,19,57,32,20,0,30,42,22,44,60,38,28,61,43,41,23,72,56,10,0,0,0,0,0,6,8,0,14,10,11,23,0,7,0,13,6,0,0,0,0,0,3,0,8,0,0,26,96
ASV_37,3,0,0,15,0,0,13,30,41,47,46,78,49,0,35,66,9,18,0,24,28,0,37,15,0,8,12,13,7,0,7,0,0,0,0,0,0,10,23,9,8,0,4,69,13,66,0,90,22,0,0,22,7,123,115,45,54,119,115,147,77,123,119,98,107,92,95,34,79,67,101,109,95,54,77,121,52,193,8,5,0,9,0,11,11,8,22,0,0,47,41,16,29,66,60,15,34,69,43,38,20,64,63,33,36,0,24,75
ASV_38,44,28,10,0,20,22,0,0,0,0,5,5,6,4,7,15,20,15,0,15,20,0,13,0,31,0,22,37,42,41,16,27,18,34,56,19,13,17,15,17,4,17,20,10,17,9,19,17,67,80,52,44,45,157,184,157,274,123,86,101,34,126,121,45,49,65,122,79,34,73,38,109,51,35,32,77,46,44,11,13,0,13,0,0,0,13,8,8,35,52,27,16,28,12,11,0,6,13,23,13,0,10,8,0,14,11,31,31
ASV_39,0,0,0,0,0,0,0,7,0,26,23,34,38,17,28,50,57,27,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,6,0,0,0,11,0,0,22,0,0,0,0,20,7,18,0,32,36,0,71,257,50,275,151,0,11,99,0,0,0,0,0,0,0,0,0,0,5,0,44,58,26,23,25,103,128,96,87,81,114,102,75,188,129,66,105,148,168,126
ASV_40,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,72,67,88,21,102,61,56,0,64,93,52,34,30,18,0,17,33,0,24,0,19,0,7,15,0,0,0,0,19,0,54,0,60,41,28,99,127,112,150,87,65,74,17,77,68,56,114,33,52,89,30,25,47,49,21,72,39,34,68,57,0,0,13,16,0,0,0,0,16,0,29,50,0,26,50,0,22,23,0,31,20,0,15,0,18,0,17,25,0,0
ASV_41,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,25,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,74,82,74,54,137,217,63,192,137,88,48,80,70,108,66,90,104,181,90,46,56,35,104,46,100,0,71,100,96,0,0,0,0,15,0,0,0,0,0,27,24,19,17,17,0,10,0,0,0,0,0,0,0,0,0,20,0,0,16
ASV_42,0,6,11,0,0,0,0,0,0,0,0,0,4,0,0,57,60,24,0,0,8,0,13,16,0,0,23,26,17,13,0,12,0,13,0,0,0,10,12,8,6,0,6,0,0,22,39,16,14,13,0,7,9,164,90,16,130,47,37,38,19,71,55,30,51,48,64,32,39,186,24,170,36,42,41,215,80,93,15,24,0,20,17,0,0,46,33,30,19,20,19,29,11,9,22,23,12,24,0,6,14,19,0,28,52,44,63,75
ASV_43,4,0,0,9,0,0,0,0,0,0,0,14,0,0,4,32,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,24,0,30,0,171,315,171,45,109,37,49,124,48,52,42,135,68,36,67,36,23,60,49,62,286,291,67,151,150,0,0,0,10,3,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ASV_44,37,35,32,0,34,38,30,32,21,22,30,26,26,14,27,27,15,0,39,33,36,12,39,38,32,31,51,47,41,30,53,22,21,61,76,65,49,62,62,41,32,40,60,14,56,57,47,28,44,43,51,37,41,0,7,0,3,0,0,5,0,17,0,17,9,11,0,17,12,21,21,18,22,9,12,0,0,0,54,31,34,33,44,26,24,40,27,47,0,15,22,13,0,10,22,8,13,12,7,12,9,0,13,6,12,8,0,0
ASV_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,130,71,46,212,54,145,108,296,235,164,94,154,106,38,27,132,50,73,20,20,17,6,23,35,13,10,19,18,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,35,28,17,12,40,24,53,23,62,0,15,34,84,50,0,34,425,189,174,221,121,0,84,29,275,32,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,18,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,0,20,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,27,0,22,34,0,0,0,22,86,114,121,29,179,54,78,69,35,49,0,41,0,0,50,30,20,32,24,20,124,161,38,138,130,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,10,0,0,0,17,0,0,0,0,0,0,0,27,23,0
ASV_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,11,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,15,11,23,116,130,78,51,125,95,55,65,45,66,29,33,28,22,59,26,9,0,23,18,89,71,36,71,36,5,0,0,0,0,0,0,3,0,0,25,29,21,0,12,0,0,7,0,21,14,18,7,13,9,0,5,28,0,8
ASV_49,0,0,0,0,0,0,23,0,27,40,0,0,0,26,36,37,33,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,100,169,124,122,0,68,65,0,87,0,35,20,34,19,0,21,0,0,21,0,0,0,0,0,0,30,0,13,0,0,0,0,0,27,0,23,25,27,0,0,28,15,23,0,0,0,21,0,37,0,22,0,34,18,0,0,37,0,0
ASV_50,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,12,0,0,11,0,0,12,0,0,10,7,0,0,0,0,0,0,7,0,0,0,12,0,19,51,53,29,32,69,69,35,131,38,47,54,12,56,74,33,40,41,75,55,9,21,24,25,23,12,0,27,0,0,8,11,10,0,9,0,13,0,0,0,47,55,21,0,28,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0
ASV_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,23,24,15,29,21,29,0,38,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,45,0,0,73,79,73,125,69,50,52,19,36,50,0,37,19,35,39,19,31,0,21,0,53,39,0,53,32,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0
ASV_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,97,0,11,0,0,0,0,9,12,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,11,0,27,19,0,44,0,28,29,26,42,48,0,31,18,13,11,18,57,67,55,45,22,11,11,80,83,37
ASV_53,0,0,0,0,3,0,4,3,5,0,0,0,29,7,46,13,19,130,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,6,0,4,0,7,9,7,6,15,2,4,15,3,0,13,8,11,4,0,0,8,0,11,0,14,11,26,14,9,22,0,0,9,6,15,5,11,24,17,0,21,22,12,7,20,23,17,21,5,20,33,7,0,11,29,0,16,36,54,55
ASV_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,82,156,92,110,0,66,62,0,107,0,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
ASV_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,76,0,0,117,0,80,39,155,121,66,37,97,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,50,14,79,44,54,28,83,56,36,37,10,16,0,20,37,0,0,8,32,0,7,0,16,46,0,40,37,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_57,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,8,0,10,9,14,0,17,8,16,0,20,0,5,11,2,5,0,4,6,0,0,5,0,0,4,0,0,0,0,9,4,0,46,26,25,26,34,0,18,21,21,0,14,21,6,29,23,12,13,7,11,0,0,19,0,0,9,19,21,15,21,15,3,0,0,0,0,0,0,0,0,0,11,18,7,8,0,0,4,0,0,9,0,0,9,8,0,0,0,0,15,12
ASV_58,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,5,0,11,9,0,0,0,0,0,4,0,7,6,0,0,0,7,0,5,0,0,4,0,9,4,0,16,21,0,7,23,19,11,60,0,25,15,17,18,24,11,31,27,48,15,12,19,6,20,16,12,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,137,120,114,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,14,0,0,13,0,0,0,0,0,8,9,5,0,0,0,0,0,0,0,0,0,6,0,0,17,0,30,0,22,23,19,0,34,24,0,0,15,0,20,0,20,19,27,19,16,0,9,16,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0
ASV_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,13,18,17,0,184,0,46,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_62,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,13,0,0,13,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,0,12,0,11,10,17,27,0,27,18,0,17,14,0,0,0,0,0,0,12,0,11,17,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
ASV_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,7,0,0,0,0,0,8,0,8,6,5,5,7,5,4,7,13,5,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,26,49,0,68,6,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,0,0,23,0,26,37,0,0,18,39,0,0,23,0,54,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_65,18,17,6,0,9,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,8,0,14,0,8,0,0,17,0,0,0,0,6,0,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,4,0,20,28,0,13,16,0,9,0,6,6,9,0,0,0,10,0,0,0,0,16
ASV_66,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,31,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
ASV_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,0,7,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,6,4,0,0,0,0,13,13,0,0,0,23,14
ASV_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,5,0,0,6,32,87
ASV_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,4,0,10,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,41,24,0,31,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_70,0,4,0,0,0,6,5,9,0,8,0,19,0,0,36,20,19,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,6,0,0,0,0,0,0,12,0,0,0,0,4,4,0,0,17
ASV_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,0,0,12,9,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,24,10,13,5,7,9,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_72,10,0,0,0,8,12,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,20,13,0,0,0,0,11,0,15,0,17,7,0,0,0,0,0,0,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
ASV_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,11,5,4,9,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,25,9,30,3,29,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_74,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,0,12,0,7,0,0,0
ASV_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,15,0,18,18,0,10,14,13,0,0,0,0,0,0,0,0,0,0,19,0,0,21,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,31,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0
ASV_78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_79,0,0,0,0,0,0,11,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,21,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0
ASV_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,8,17,0,15,0,0,0,11,8,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,8,4,17,0,0,3,0,0,7,0,0,0,0,0,12,0,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,90
ASV_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,25
